SCHOOL,NO.,NAME,POS.,HT.,WT.,YEAR,HOMETOWN/PREVIOUS_SCHOOL,HIGH_SCHOOL,LAST_SCHOOL
Maryland,51,Josh Morris,LB,6-2,215,Jr.,"Glendale, MD / Gonzaga College",,
Maryland,53,Sean Greeley,LB,6-0,220,Sr.,"Havre de Grace, MD / Havre de Grace",,
Maryland,54,Spencer Anderson,OL,6-5,330,R-Sr.,"Bowie, MD / Bishop McNamara",,
Maryland,54,Ami Finau,DL,6-2,320,Sr.,"Kahuku, Hawaii / Euless Trinity",,
Maryland,55,Andre Roye Jr.,OL,6-6,320,Fr.,"District Heights, MD / St. Frances Academy",,
Maryland,56,TJ Kautai,LB,6-1,235,Sr.,"Euless, TX / Trinity HS",,
Maryland,57,Isaac Bunyun,DL,6-3,300,R-So.,"Accra, Ghana / High Point",,
Maryland,58,Liridon Mujezinovic,OL,6-8,282,So.,"Winkel, Netherlands /",,
Maryland,59,Ethan Gough,LS,6-1,205,R-Fr.,"Owings, MD / DeMatha Catholic",,
Maryland,60,Khristopher Love,OL,6-3,315,R-So.,"Miami Gardens, FL / American Heritage",,
Maryland,63,Clayton Allen,OL,6-5,325,R-Fr.,"Huntingtown, MD / St. Mary's Ryken",,
Maryland,64,Marcus Finger,OL,6-6,315,R-Jr.,"Fort Myers, FL / Fort Myers",,
Maryland,65,Johari Branch,OL,6-3,330,Sr.,"Chicago, IL / Phillips Academy",,
Maryland,66,Aric Harris,OL,6-2,310,Jr.,"Pensacola, FL / Escambia",,
Maryland,67,Tommy Varhall,OL,6-8,315,R-Fr.,"Overland Park, KS / IMG Academy",,
Maryland,68,Sean Wilkins,OL,6-4,310,R-So.,"Gambrills, MD / Arundel",,
Maryland,70,Amelio Moran,OL,6-5,310,R-Sr.,"Virginia Beach, VA / Princess Anne",,
Maryland,71,Jaelyn Duncan,OL,6-6,320,R-Sr.,"New Carrollton, MD / St. Frances Academy",,
Maryland,72,Conor Fagan,OL,6-8,285,R-So.,"Clarksburg, MD / Gonzaga College",,
Maryland,73,Bruno Onwuazor,OL,6-10,310,So.,"Bladensburg, MD / Charles Herbert Flowers",,
Maryland,74,Delmar Glaze,OL,6-5,305,R-So.,"Charlotte, NC / West Mecklenburg",,
Maryland,75,Ja'Khi Green,OL,6-5,310,R-So.,"Palmer Park, MD / St. Frances Academy",,
Maryland,76,Kyle Long,OL,6-5,325,R-Fr.,"St. Louis, MO / Hazelwood Central",,
Maryland,77,Maximus McCree,OL,6-6,285,So.,"Kansas City, MO / Grandview",,
Maryland,78,Mason Lunsford,OL,6-7,305,R-Jr.,"Olney, MD / Good Counsel",,
Maryland,81,Kai Holloway,WR,5-10,175,R-Fr.,"Rockville, MD / Walter Johnson",,
Maryland,82,Leron Husbands,TE,6-3,230,R-Fr.,"Seat Pleasant, MD / Archbishop Carroll",,
Maryland,84,Corey Dyches,TE,6-2,220,R-So.,"Oxon Hill, MD / Potomac",,
Maryland,87,Robert Smith,WR,6-1,190,R-Fr.,"Houston, TX / Strake Jesuit College Preparatory",,
Maryland,88,Anthony Booker Jr.,DL,6-4,320,R-Jr.,"Cincinnati, OH / Winton Woods",,
Maryland,90,Andre Porter,DL,6-3,325,R-Fr.,"Washington, DC / Washington",,
Maryland,91,Jack Howes,K/P,6-0,195,R-Fr.,"Orlando, FL / Edgewater",,
Maryland,95,Austin Fontaine,DL,6-3,260,R-Sr.,"Waldorf, MD / DeMatha Catholic",,
Maryland,96,Zion Shockley,DL,6-3,250,R-Fr.,"Berlin, MD / St. Frances Academy",,
Maryland,98,Anthony Pecorella,P,6-3,205,Sr.,"Malverne, NY / Chaminade",,
Maryland,99,Tommy Akingbesote,DL,6-4,310,So.,"Largo, MD / Charles Herbert Flowers",,
Maryland,99,Colton Spangler,P,6-0,185,Sr.,"Pasadena, MD / Chesapeake",,
Michigan,0,Darrius Clemons,WR,6-3,205,Fr.,"Portland, Oregon / Westview",,
Michigan,1,Andrel Anthony,WR,6-2,185,So.,"East Lansing, Mich. / Lansing",,
Michigan,1,Ja'Den McBurrows,DB,5-11,197,So.,"Fort Lauderdale, Fla. / St. Thomas Aquinas",,
Michigan,2,Blake Corum,RB,5-8,200,Jr.,"Marshall, Va. / St. Frances Academy",,
Michigan,2,Will Johnson,DB,6-3,190,Fr.,"Detroit, Mich. / Grosse Pointe South",,
Michigan,3,A.J. Henning,WR,5-10,185,Jr.,"Frankfort, Ill. / Lincoln-Way East",,
Michigan,3,Keon Sabb,DB,6-2,200,Fr.,"Glassboro, N.J. / IMG Academy",,
Michigan,4,Amorion Walker,WR,6-4,180,Fr.,"Ponchatoula, La. / Ponchatoula",,
Michigan,5,Mike Sainristil,WR,5-10,185,Sr.,"Everett, Mass. / Everett",,
Michigan,5,DJ Turner,DB,6-0,181,Sr.,"Suwanee, Ga. / IMG Academy",,
Michigan,6,Cornelius Johnson,WR,6-3,211,Sr.,"Greenwich, Conn. / Brunswick School",,
Michigan,6,R.J. Moten,DB,6-0,221,Jr.,"Delran, N.J. / Delran",,
Michigan,7,Donovan Edwards,RB,6-0,202,So.,"West Bloomfield, Mich. / West Bloomfield",,
Michigan,7,Makari Paige,DB,6-3,192,Jr.,"West Bloomfield, Mich. / West Bloomfield",,
Michigan,8,Ronnie Bell,WR,6-0,192,Gr.,"Kansas City, Mo. / Park Hill",,
Michigan,8,Derrick Moore,DE,6-4,250,Fr.,"Baltimore, Md. / St. Frances Academy",,
Michigan,9,J.J. McCarthy,QB,6-3,197,So.,"La Grange Park, Ill. / Nazareth Academy/IMG Academy",,
Michigan,10,Cristian Dixon,WR,6-2,197,So.,"Santa Ana, Calif. / Mater Dei",,
Michigan,10,Alex Orji,QB,6-2,226,Fr.,"Sachse, Texas / Sachse",,
Michigan,12,Kody Jones,DB,5-11,175,Fr.,"Memphis, Tenn. / Germantown",,
Michigan,12,Cade McNamara,QB,6-1,212,Sr.,"Reno, Nev. / Damonte Ranch",,
Michigan,13,Jake Moody,K,6-1,211,Gr.,"Northville, Mich. / Northville",,
Michigan,13,Tyler Morris,WR,6-0,175,Fr.,"Bolingbrook, Ill. / Nazareth Academy",,
Michigan,14,Quinten Johnson,DB,5-11,200,Sr.,"Silver Spring, Md. / St. John's College",,
Michigan,14,Roman Wilson,WR,6-0,180,Jr.,"Honolulu, Hawaii / St. Louis",,
Michigan,15,Alan Bowman,QB,6-4,205,Gr.,"Grapevine, Texas / Grapevine",,
Michigan,15,Andy Maddox,QB,6-4,212,Sr.,"Prairie Village, Kan. / Shawnee Mission East",,
Michigan,16,Jayden Denegal,QB,6-4,215,Fr.,"Apple Valley, Calif. / Apple Valley",,
Michigan,16,Jalen Perry,DB,6-0,187,Sr.,"Dacula, Ga. / Dacula",,
Michigan,16,Davis Warren,QB,6-2,195,So.,"Los Angeles, Calif. / Loyola/Suffield Academy",,
Michigan,17,Braiden McGregor,DE,6-5,265,Jr.,"Port Huron, Mich. / Port Huron Northern",,
Michigan,17,Peyton Smith,QB,6-3,192,Jr.,"Ithaca, Mich. / Traverse City Central",,
Michigan,18,Keshaun Harris,DB,5-11,186,Sr.,"Lansing, Mich. / Waverly",,
Michigan,18,Colston Loveland,TE,6-5,230,Fr.,"Gooding, Idaho / Gooding",,
Michigan,18,Jesse Madden,QB,6-2,198,So.,"Oakland, Calif. / Bishop O'Dowd",,
Michigan,19,Tommy Doman,K/P,6-5,190,So.,"Rochester Hills, Mich. / Orchard Lake St. Mary's",,
Michigan,19,Rod Moore,DB,6-0,173,So.,"Clayton, Ohio / Northmont",,
Michigan,20,Kalel Mullings,LB,6-1,236,Jr.,"West Roxbury, Mass. / Milton Academy",,
Michigan,22,Tavierre Dunlap,RB,6-0,222,So.,"Del Valle, Texas / Del Valle",,
Michigan,22,Gemon Green,DB,6-2,181,Gr.,"DeSoto, Texas / DeSoto",,
Michigan,23,Michael Barrett,LB,6-0,227,Gr.,"Valdosta, Ga. / Lowndes",,
Michigan,24,Danny Hughes,RB,6-0,200,Sr.,"Naperville, Ill. / Naperville Central",,
Michigan,24,Myles Pollard,DB,6-2,185,Fr.,"Brentwood, Tenn. / Ravenwood",,
Michigan,25,Jr. Colson,LB,6-2,225,So.,"Brentwood, Tenn. / Ravenwood",,
Michigan,26,Rayshaun Benny,DL,6-5,292,So.,"Detroit, Mich. / Oak Park",,
Michigan,26,Jake Thaw,WR,6-0,190,Jr.,"Westport, Conn. / Staples",,
Michigan,27,Christian Bartholomew,WR,6-0,182,Jr.,"Galesburg, Mich. / Kalamazoo United",,
Michigan,27,Tyler McLaurin,LB,6-3,237,So.,"Bolingbrook, Ill. / Bolingbrook",,
Michigan,29,Rhett Andersen,K/P,6-0,172,Gr.,"Poquoson, Va. / Poquoson/Hampden-Sydney",,
Michigan,29,Joey Velazquez,LB,6-0,228,Sr.,"Columbus, Ohio / St. Francis De Sales",,
Michigan,30,Will Rolapp,WR,6-0,186,Jr.,"Darien, Conn. / Suffield Academy",,
Michigan,31,William McBride,RB,5-9,202,So.,"Bloomfield Hills, Mich. / Seaholm",,
Michigan,31,Jordan Morant,DB,6-0,210,Jr.,"Parsippany, N.J. / Bergen Catholic",,
Michigan,32,Jaylen Harrell,LB,6-4,242,Jr.,"Tampa, Fla. / Berkeley Prep",,
Michigan,32,Nolan Knight,LB,6-3,215,Sr.,"Northville, Mich. / Northville",,
Michigan,33,German Green,DB,6-2,190,Gr.,"DeSoto, Texas / DeSoto",,
Michigan,34,Jaydon Hood,LB,6-1,212,So.,"Fort Lauderdale, Fla. / St. Thomas Aquinas",,
Michigan,35,Caden Kolesar,DB,5-10,196,Sr.,"Westlake, Ohio / St. Edward",,
Michigan,36,Nico Tiberia,RB,5-9,201,Jr.,"Allen Park, Mich. / Allen Park",,
Michigan,37,Josh Beetham,TE,6-5,239,Jr.,"Yorkville, Ill. / Yorkville",,
Michigan,37,Eamonn Dennis,WR,5-10,175,Jr.,"Worcester, Mass. / St. John's",,
Michigan,38,Peyton O'Leary,WR,6-4,190,So.,"Byfield, Mass. / Governor's Academy",,
Michigan,38,Joe Taylor,WR,5-10,184,So.,"Chelsea, Mich. / Chelsea",,
Michigan,39,Joel Metzger,LB,6-1,205,So.,"Battle Creek, Mich. / Lakeview",,
Michigan,40,Christian Boivin,RB,6-0,204,So.,"Traverse City, Mich. / Traverse City West",,
Michigan,40,Leon Franklin,RB,5-8,206,Sr.,"Southfield, Mich. / Southfield A&T",,
Michigan,41,Isaiah Gash,RB,5-10,178,Jr.,"Green Bay, Wisc. / Bay Port",,
Michigan,41,Nikhai Hill-Green,LB,6-1,220,Jr.,"Pittsburgh, Pa. / St. Frances Academy",,
Michigan,42,Trevor Andrews,LB,6-2,218,So.,"Brentwood, Tenn. / Ravenwood",,
Michigan,42,TJ Guy,DE,6-5,251,So.,"Mansfield, Mass. / Mansfield",,
Michigan,43,Andrew Russell,DB,6-2,191,Gr.,"Victor, N.Y. / Victor",,
Michigan,43,Ryan Zimmerman,LB,6-2,220,Jr.,"Fort Lauderdale, Fla. / Pine Crest",,
Michigan,44,Paul Jokisch,DE/LB,6-3,230,Jr.,"Birmingham, Mich. / Seaholm",,
Michigan,44,Joshua Luther,DB,5-9,184,Sr.,"Clarkston, Mich. / Clarkston",,
Michigan,45,Noah Howes,TE,6-5,234,So.,"Rochester, Mich. / Rochester",,
Michigan,45,Greg Tarr,LS,6-2,207,Jr.,"Washington, Mich. / Romeo",,
Michigan,46,Alexander Lidback,LB,6-3,223,So.,"Alpharetta, Ga. / Alpharetta",,
Michigan,46,Philip Quansah,LB,5-8,202,So.,"Dayton, Ohio / Northmont",,
Michigan,49,Henry Donohue,RB/S,5-11,199,So.,"Bronxville, N.Y. / Bronxville",,
Michigan,49,William Wagner,LS,6-1,247,Sr.,"Alpharetta, Ga. / Alpharetta",,
Michigan,50,Mica Gelb,OL,6-4,292,Sr.,"Washington, D.C. / Woodrow Wilson",,
Michigan,50,Jerome Nichols,LB,6-0,224,Jr.,"Belleville, Mich. / Renaissance",,
Michigan,51,Greg Crippen,OL,6-4,290,So.,"Northborough, Mass. / IMG Academy",,
Michigan,52,Karsen Barnhart,OL,6-4,307,Sr.,"Paw Paw, Mich. / Paw Paw",,
Michigan,52,Kechaun Bennett,DE,6-5,241,So.,"Suffield, Conn. / Suffield Academy",,
Michigan,53,Trente Jones,OL,6-4,307,Sr.,"Grayson, Ga. / Grayson",,
Michigan,54,Kraig Correll,OL,6-4,311,Gr.,"Easton, Pa. / Blair Academy",,
Michigan,54,George Rooks,DL,6-5,270,So.,"Jersey City, N.J. / St. Peter's Prep",,
Michigan,55,Mason Graham,DL,6-3,292,Fr.,"Anaheim, Calif. / Servite",,
Michigan,55,Olusegun Oluwatimi,OL,6-3,310,Gr.,"Upper Marlboro, Md. / DeMatha Catholic",,
Michigan,56,Dominick Giudice,DL,6-5,275,So.,"Freehold, N.J. / Mater Dei",,
Michigan,58,Giovanni El-Hadi,OL,6-5,318,So.,"Sterling Heights, Mich. / Adlai Stevenson",,
Michigan,58,Mazi Smith,DL,6-3,326,Sr.,"Grand Rapids, Mich. / East Kentwood",,
Michigan,60,Connor Jones,OL,6-7,285,Fr.,"Monument, Colo. / Palmer Ridge",,
Michigan,61,Noah Stewart,OL,6-7,274,Jr.,"Muskegon, Mich. / North Muskegon",,
Michigan,62,Raheem Anderson,OL,6-3,302,So.,"Detroit, Mich. / Cass Technical",,
Michigan,65,Zak Zinter,OL,6-6,320,Jr.,"North Andover, Mass. / Buckingham Browne and Nichols School",,
Michigan,72,Tristan Bounds,OL,6-8,282,So.,"Wallingford, Conn. / Choate Rosemary Hall",,
Michigan,74,Reece Atteberry,OL,6-5,307,Jr.,"Aurora, Colo. / Eaglecrest",,
Michigan,75,Peter Simmons,OL,6-3,291,So.,"Bonita Springs, Fla. / Bishop Verot",,
Michigan,76,Ryan Hayes,OL,6-7,307,Gr.,"Traverse City, Mich. / Traverse City West",,
Michigan,77,Trevor Keegan,OL,6-6,324,Sr.,"Crystal Lake, Ill. / Crystal Lake",,
Michigan,79,Jeffrey Persi,OL,6-7,305,Jr.,"Mission Viejo, Calif. / JSerra Catholic",,
Michigan,80,Hunter Neff,TE,6-2,237,Sr.,"Chelsea, Mich. / Chelsea",,
Michigan,81,Louis Hansen,TE,6-6,252,So.,"Needham, Mass. / St. Sebastian's",,
Michigan,82,Max Bredeson,TE,6-2,222,So.,"Hartland, Wisc. / Arrowhead",,
Michigan,83,Erick All,TE,6-4,245,Sr.,"Fairfield, Ohio / Fairfield",,
Michigan,84,Joel Honigford,TE,6-6,257,Gr.,"Sugarcreek, Ohio / Garaway",,
Michigan,84,Sam Staruch,WR,6-1,180,Jr.,"Lake Orion, Mich. / Lake Orion",,
Michigan,86,Luke Schoonmaker,TE,6-5,250,Gr.,"Hamden, Conn. / Hamden Hall",,
Michigan,88,Mathew Harrison,WR,6-2,205,Sr.,"Ortonville, Mich. / Brandon",,
Michigan,88,Matthew Hibner,TE,6-4,244,Jr.,"Burke, Va. / Lake Braddock",,
Michigan,89,Carter Selzer,TE,6-8,242,Gr.,"Kansas City, Mo. / Rockhurst",,
Michigan,90,Mike Morris,DE,6-6,278,Sr.,"Belle Glade, Fla. / American Heritage",,
Michigan,91,Brad Robbins,P,6-1,203,Gr.,"Westerville, Ohio / Westerville South",,
Michigan,91,Taylor Upshaw,DE,6-4,262,Gr.,"Bradenton, Fla. / Braden River",,
Michigan,92,Ike Iwunnah,DL,6-3,306,So.,"Garland, Texas / Lakeview Centennial",,
Michigan,93,Charlie Mentzer,K/P,6-2,172,So.,"Northville, Mich. / Detroit Catholic Central",,
Michigan,94,Kris Jenkins,DL,6-3,275,Jr.,"Olney, Md. / Our Lady Good Counsel",,
Michigan,96,Julius Welschof,DL,6-6,288,Gr.,"Miesbach, Bavaria, Germany / FOS Altoetting",,
Michigan,99,Gabe Newburg,DE,6-5,251,Sr.,"Clayton, Ohio / Northmont",,
Michigan St.,0,Charles Brantley,CB,6-0,165,So.,"Sarasota, Fla. / Venice",,
Michigan St.,0,Keon Coleman,WR,6-4,210,So.,"Opelousas, La. / Opelousas Catholic",,
Michigan St.,1,Jaden Mangham,S,6-2,170,Fr.,"Bingham Farms, Mich. / Groves",,
Michigan St.,1,Jayden Reed,WR,6-0,185,R-Sr.,"Naperville, Ill. / Naperville Central",,
Michigan St.,2,Khris Bogle,DE,6-4,240,Sr.,"Fort Lauderdale, Fla. / Cardinal Gibbons",,
Michigan St.,2,Harold Joiner,RB,6-4,215,R-Sr.,"Birmingham, Ala. / Mountain Brook",,
Michigan St.,3,Xavier Henderson,S,6-1,210,5th,"Reynoldsburg, Ohio / Pickerington Central",,
Michigan St.,3,Terry Lockett Jr.,WR,6-0,180,Jr.,"Minneapolis, Minn. / Minnehaha Academy",,
Michigan St.,4,Germie Bernard,WR,6-0,200,Fr.,"Henderson, Nev. / Liberty",,
Michigan St.,4,Jacoby Windmon,LB,6-2,230,Sr.,"New Orleans, La. / John Ehret",,
Michigan St.,5,Hamp Fay,QB,6-5,220,R-Fr.,"Hudson Oaks, Texas / All Saints Episcopal",,
Michigan St.,5,Michael Fletcher,DE,6-6,260,R-Jr.,"Flint, Mich. / Carman-Ainsworth",,
Michigan St.,6,Maliq Carr,TE,6-5,245,R-So.,"Inkster, Mich. / Oak Park",,
Michigan St.,6,Quavaris Crouch,LB,6-2,230,Sr.,"Charlotte, N.C. / Harding",,
Michigan St.,7,Aaron Brule,LB,6-1,220,5th,"Metairie, La. / Archbishop Rummel",,
Michigan St.,8,Simeon Barrow,DT,6-2,285,R-So.,"Grovetown, Ga. / Grovetown",,
Michigan St.,8,Jalen Berger,RB,6-1,205,R-So.,"Newark, N.J. / Don Bosco Prep",,
Michigan St.,9,Ronald Williams,CB,6-2,185,5th,"Ferriday, La. / Ferriday",,
Michigan St.,10,Ma'a Gaoteote,LB,6-1,245,So.,"Las Vegas, Nev. / Bishop Gorman",,
Michigan St.,10,Payton Thorne,QB,6-2,210,R-Jr.,"Naperville, Ill. / Naperville Central",,
Michigan St.,11,Antoine Booth,CB,5-11,175,R-Fr.,"Jessup, Md. / DeMatha Catholic",,
Michigan St.,12,Katin Houser,QB,6-3,195,Fr.,"Anaheim, Calif. / St. John Bosco",,
Michigan St.,12,Chester Kimbrough,CB,6-0,180,Sr.,"New Orleans, La. / Warren Easton Sr.",,
Michigan St.,13,Sebastian Brown,WR,6-3,190,R-So.,"Detroit, Mich. / Cass Tech",,
Michigan St.,13,Ben VanSumeren,LB,6-3,240,R-Sr.,"Bay City, Mich. / Garber",,
Michigan St.,14,Khary Crump,CB,6-0,175,R-So.,"Culver City, Calif. / Culver City",,
Michigan St.,14,Noah Kim,QB,6-2,185,R-So.,"Centreville, Va. / Westfield",,
Michigan St.,15,Angelo Grose,S,5-10,180,Jr.,"Mansfield, Ohio / Mansfield Sr.",,
Michigan St.,16,Christian Fitzpatrick,WR,6-4,205,R-So.,"Southfield, Mich. / Southfield AT&T",,
Michigan St.,17,Chase Carter,DE,6-6,215,Fr.,"Brooklyn Park, Minn. / Minnehaha Academy",,
Michigan St.,17,Tre Mosley,WR,6-2,195,R-Jr.,"Pontiac, Mich. / West Bloomfield",,
Michigan St.,18,Andrew Schorfhaar,QB,6-2,195,R-So.,"DeWitt, Mich. / DeWitt",,
Michigan St.,18,Ameer Speed,CB,6-3,210,6th,"Jacksonville, Fla. / Sandalwood",,
Michigan St.,19,Itayvion Brown,LB,6-4,230,R-So.,"St. Louis, Missouri / Lutheran North",,
Michigan St.,19,Zach Gillespie,WR,6-2,205,R-So.,"East Lansing, Mich. / Lansing Catholic",,
Michigan St.,20,Ade Willie,CB,6-1,185,Fr.,"Sarasota, Fla. / IMG Academy",,
Michigan St.,21,Davion Primm,RB,6-0,195,R-Fr.,"Detroit, Mich. / Oak Park",,
Michigan St.,21,Dillon Tatum,DB,5-11,185,Fr.,"Farmington Hills, Mich. / West Bloomfield",,
Michigan St.,22,Jordon Simmons,RB,5-11,195,Jr.,"Marietta, Ga. / McEachern",,
Michigan St.,23,Darius Snow,S,6-1,220,Jr.,"Frisco, Texas / Hebron",,
Michigan St.,24,Elijah Collins,RB,6-1,225,R-Sr.,"Detroit, Mich. / University of Detroit Jesuit",,
Michigan St.,25,Joseph Martinez,WR,5-9,195,R-So.,"Holt, Mich. / Holt",,
Michigan St.,26,Brandon Wright,DE,6-2,240,Sr.,"Euclid, Ohio / Euclid",,
Michigan St.,27,Cal Haladay,LB,6-1,235,R-So.,"Elysburg, Pa. / Southern Columbia",,
Michigan St.,28,Tate Hallock,S,6-4,210,R-Jr.,"Grand Rapids, Mich. / Forest Hills Central",,
Michigan St.,29,Marqui Lowery,CB,6-0,175,R-So.,"Charlotte, N.C. / Zebulon Vance",,
Michigan St.,30,Justin White,CB,5-8,180,R-Jr.,"Agoura Hills, Calif. / Colorado Mesa",,
Michigan St.,31,Kobe Myers,S,6-1,220,R-So.,"Pontiac, Mich. / Blair Academy",,
Michigan St.,31,Hank Pepper,LS,6-2,205,So.,"Chandler, Ariz. / Chandler",,
Michigan St.,32,Zach Denha,DB,6-0,185,R-So.,"Rochester Hills, Mich. / Stony Creek",,
Michigan St.,32,Donovan Eaglin,RB,5-11,235,R-So.,"Rosharon, Texas / Manvel",,
Michigan St.,33,Kendell Brooks,CB,6-0,200,Sr.,"Swansea, S.C. / Swansea",,
Michigan St.,34,Khalil Majeed,S,5-11,190,R-Fr.,"Moorestown, N.J. / Suffield (Conn.) Academy",,
Michigan St.,35,Sam Edwards,LB,6-0,215,R-So.,"Williamston, Mich. / Lansing Catholic",,
Michigan St.,36,Torrell Williams,DB,5-10,180,R-Jr.,"Detroit, Mich. / Cranbrook-Kingswood",,
Michigan St.,37,Caleb Coley,CB,6-0,165,Fr.,"Warner Robins, Ga. / Houston County",,
Michigan St.,37,Caleb Wolf,RB,5-10,185,Jr.,"Wayland, Mich. / Wayland",,
Michigan St.,38,Kaleb Elam,S,6-1,195,Sr.,"Lansing, Mich. / East Lansing",,
Michigan St.,40,A.J. Kirk,S,6-1,200,R-Fr.,"Columbus, Ohio / Archbishop Hoban",,
Michigan St.,40,Powers Warren,TE,6-4,230,6th,"Minnetonka, Minn. / Minnetonka",,
Michigan St.,41,Derrick Harmon,DT,6-5,330,R-Fr.,"Detroit, Mich. / Loyola",,
Michigan St.,42,Carson Casteel,LB,6-2,215,R-Fr.,"Florence, Ala. / Florence",,
Michigan St.,44,Adam Berghorst,TE,6-7,260,Sr.,"Zeeland, Mich. / Zeeland East",,
Michigan St.,47,Jackson Morse,TE,6-3,230,R-Jr.,"East Lansing, Mich. / East Lansing",,
Michigan St.,47,Jeff Pietrowski,DE,6-1,250,Jr.,"Medina, Ohio / St. Edward",,
Michigan St.,49,Liam Carr,LB,6-0,180,R-Fr.,"Okemos, Mich. / Okemos",,
Michigan St.,51,Tommy Larson,LB,6-2,220,Sr.,"White Lake, Mich. / Walled Lake Northern",,
Michigan St.,53,Brandon Baldwin,OT,6-7,315,R-So.,"Detroit, Mich. / Southfield AT&T",,
Michigan St.,56,Matt Carrick,OG,6-5,325,6th,"Minerva, Ohio / Perry",,
Michigan St.,57,Evan Brunning,DT,6-5,230,R-Jr.,"Oxford, Mich. / Oxford",,
Michigan St.,58,Spencer Brown,OL,6-6,320,R-Jr.,"Commerce Township, Mich. / Walled Lake Western",,
Michigan St.,59,Nick Samac,C,6-4,310,Sr.,"Mentor, Ohio / Mentor",,
Michigan St.,63,Jacob Lafave,OL,6-4,290,R-So.,"Brighton, Mich. / Brighton",,
Michigan St.,64,Jacob Slade,DT,6-4,315,R-Sr.,"Lewis Center, Ohio / Lewis Center",,
Michigan St.,67,J.D. Duplain,OL,6-4,305,Sr.,"Strongsville, Ohio / Strongsville",,
Michigan St.,70,Kevin Wigenton,OL,6-5,330,R-Fr.,"Colts Neck, N.J. / The Hun School",,
Michigan St.,72,Dallas Fincher,OL,6-4,300,R-So.,"Kentwood, Mich. / East Kentwood",,
Michigan St.,74,Geno VanDeMark,OL,6-5,325,R-Fr.,"Lodi, N.J. / St. Joseph",,
Michigan St.,77,Ethan Boyd,OL,6-7,315,R-Fr.,"East Lansing, Mich. / East Lansing",,
Michigan St.,79,Jarrett Horst,OT,6-6,305,5th,"Middleton, Wis. / Middleton",,
Michigan St.,82,Nick Hunter,WR,5-10,190,R-Jr.,"Grayling, Mich. / Grayling",,
Michigan St.,83,Montorie Foster,WR,6-0,185,Jr.,"Cleveland, Ohio / St. Edward",,
Michigan St.,85,Cade McDonald,WR,5-11,195,R-Jr.,"Naperville, Ill. / Naperville Central",,
Michigan St.,86,Aubrey Dawkins,WR,5-10,180,R-So.,"Verona, Wis. / Verona",,
Michigan St.,87,Jack Nickel,TE,6-4,235,Fr.,"Milton, Ga. / Milton",,
Michigan St.,91,Alex VanSumeren,DT,6-3,300,Fr.,"Bay City, Mich. / Garber",,
Michigan St.,92,Michael Donovan,LS,6-3,230,R-Fr.,"Beverly Hills, Mich. / Seaholm",,
Michigan St.,92,Evan Morris,TE/K,6-5,240,R-Jr.,"Elsie, Mich. / Ovid-Elsie",,
Michigan St.,93,Jarrett Reeser,K,5-10,170,Fr.,"Canyon Country, Calif. / Canyon",,
Michigan St.,94,Dashaun Mallory,DT,6-2,285,R-Sr.,"Bolingbrook, Ill. / Bolingbrook",,
Michigan St.,96,Ryan Eckley,P,6-2,175,Fr.,"Lithia, Fla. / Newsome",,
Michigan St.,97,Maverick Hansen,DT,6-4,310,R-Jr.,"Farmington Hills, Mich. / Harrison",,
Michigan St.,97,Tyler Hunt,TE,6-3,235,6th,"Gobles, Mich. / Gobles",,
Michigan St.,98,Avery Dunn,DE,6-4,245,R-So.,"Shaker Heights, Ohio / Shaker Heights",,
Michigan St.,98,Stephen Rusnak,K,6-1,170,So.,"Clarkston, Mich. / Clarkston",,
Michigan St.,99,Bryce Baringer,P,6-3,210,6th,"Waterford, Mich. / Notre Dame Prep",,
Michigan St.,99,Jalen Hunt,DT,6-4,320,R-Jr.,"Belleville, Mich. / Belleville",,
Minnesota,0,Le'Meke Brockington,WR,6-0,195,R-Fr.,"Moultrie, Ga. / Colquitt County",,
Minnesota,0,Jalen Glaze,DB,6-0,185,R-So.,"Tallahassee, Fla. / Lincoln",,
Minnesota,1,Trill Carter,DL,6-2,300,R-Jr.,"Leesburg, Ga. / Crisp County",,
Minnesota,1,Ike White,WR,5-11,185,Fr.,"Philadelphia, Pa. / St. Frances Academy",,
Minnesota,2,Gage Keys,DL,6-5,280,R-So.,"Hilliard, Ohio / Hilliard Davidson",,
Minnesota,2,Tanner Morgan,QB,6-2,215,6th,"Union, Ky. / Ryle",,
Minnesota,3,Austin Booker,DL,6-6,240,R-Fr.,"Greenwood, Ind. / Center Grove",,
Minnesota,3,Trey Potts,RB,5-11,210,R-Jr.,"Williamsport, Pa. / Williamsport",,
Minnesota,4,Mar'Keise Irving,RB,5-10,190,So.,"Chicago, Ill. / Hillcrest",,
Minnesota,4,Terell Smith,DB,6-1,215,5th,"Snellville, Ga. / South Gwinnett",,
Minnesota,5,Justin Walley,DB,5-11,185,So.,"D’Iberville, Miss. / D’Iberville",,
Minnesota,5,Dylan Wright,WR,6-3,215,R-Jr.,"Dallas, Texas / West Mesquite",,Texas A&M
Minnesota,6,Douglas Emilien,WR,6-1,190,R-So.,"Ft. Lauderdale, Fla. / American Heritage",,
Minnesota,6,Miles Fleming,DB,5-11,185,R-So.,"Columbus, Ohio / Bishop Hartley",,
Minnesota,7,Chris Autman-Bell,WR,6-1,215,6th,"Kankakee, Ill. / Bishop McNamara",,
Minnesota,7,Solomon Brown,DB,5-11,195,R-Jr.,"Largo, Fla. / Largo",,
Minnesota,8,Athan Kaliakmanis,QB,6-4,205,R-Fr.,"Antioch, Ill. / Antioch",,
